gml_id,ust_katego,alt_katego,ad,geojson
bursa_dinitesis.96,DİNİ TESİSLER,CAMİ,MARMARA KİMYA SANAYİİ FB.CAMİ,"{""type"":""Point"",""coordinates"":[29.090199657,40.407378814]}"
bursa_dinitesis.97,DİNİ TESİSLER,CAMİ,GENÇALİ MH. KUMSAZ CAMİ,"{""type"":""Point"",""coordinates"":[29.070258328,40.389726494]}"
bursa_dinitesis.98,DİNİ TESİSLER,CAMİ,GENÇALİ MH. KUMSAZ SÜLEYMAN ÇELEBİ CAMİ,"{""type"":""Point"",""coordinates"":[29.076925614,40.38516415]}"
bursa_dinitesis.99,DİNİ TESİSLER,CAMİ,GÜVENLİ MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.234994449,40.385602104]}"
bursa_dinitesis.100,DİNİ TESİSLER,CAMİ,HACI AYŞE ZİVER KARATAŞ CAMİ,"{""type"":""Point"",""coordinates"":[29.137471795,40.447851533]}"
bursa_dinitesis.101,DİNİ TESİSLER,CAMİ,HACI KERİM CAMİ,"{""type"":""Point"",""coordinates"":[29.149675877,40.438875037]}"
bursa_dinitesis.102,DİNİ TESİSLER,CAMİ,HACI OSMAN ERKEN CAMİ,"{""type"":""Point"",""coordinates"":[29.158191489,40.426032549]}"
bursa_dinitesis.103,DİNİ TESİSLER,CAMİ,HACI SABAHATTİN YILDIRIM CAMİ,"{""type"":""Point"",""coordinates"":[29.153389833,40.421278009]}"
bursa_dinitesis.104,DİNİ TESİSLER,CAMİ,HAMİDİYE MH. ZEYTİN HALİ CAMİ,"{""type"":""Point"",""coordinates"":[29.179641935,40.427329112]}"
bursa_dinitesis.105,DİNİ TESİSLER,CAMİ,İBRAHİM KARSAKLI CAMİ,"{""type"":""Point"",""coordinates"":[29.156605537,40.429335604]}"
bursa_dinitesis.106,DİNİ TESİSLER,CAMİ,KAFOĞLU CAMİ,"{""type"":""Point"",""coordinates"":[29.154059837,40.438421467]}"
bursa_dinitesis.107,DİNİ TESİSLER,CAMİ,KARACAALİ MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.067154617,40.480261093]}"
bursa_dinitesis.108,DİNİ TESİSLER,CAMİ,KATIRLI MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.217114468,40.364982774]}"
bursa_dinitesis.109,DİNİ TESİSLER,CAMİ,KUMLA MH. SAHİL CAMİ,"{""type"":""Point"",""coordinates"":[29.102407699,40.471589393]}"
bursa_dinitesis.110,DİNİ TESİSLER,CAMİ,KUMLA MH.SİTELER CAMİ,"{""type"":""Point"",""coordinates"":[29.09411199,40.477473005]}"
bursa_dinitesis.111,DİNİ TESİSLER,CAMİ,KURTUL MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.122152243,40.36424697]}"
bursa_dinitesis.112,DİNİ TESİSLER,CAMİ,KÜÇÜKKUMLA MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.123665674,40.478895275]}"
bursa_dinitesis.113,DİNİ TESİSLER,CAMİ,GEMSAZ CAMİ,"{""type"":""Point"",""coordinates"":[29.099212781,40.416540483]}"
bursa_dinitesis.114,DİNİ TESİSLER,CAMİ,MURATOBA MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.181286327,40.364169457]}"
bursa_dinitesis.115,DİNİ TESİSLER,CAMİ,NARLI MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.033558309,40.481558646]}"
bursa_dinitesis.116,DİNİ TESİSLER,CAMİ,OSMANİYE MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.165156829,40.436258535]}"
bursa_dinitesis.117,DİNİ TESİSLER,CAMİ,SOLAKSUBAŞI CAMİ,"{""type"":""Point"",""coordinates"":[29.155454834,40.43260328]}"
bursa_dinitesis.118,DİNİ TESİSLER,CAMİ,UMURBEY MH.ÇARŞI CAMİ,"{""type"":""Point"",""coordinates"":[29.18342371,40.415837767]}"
bursa_dinitesis.119,DİNİ TESİSLER,CAMİ,UMURBEY MH.SELÇUK CAMİ,"{""type"":""Point"",""coordinates"":[29.179194508,40.414685666]}"
bursa_dinitesis.120,DİNİ TESİSLER,CAMİ,VEYSEL KARANİ CAMİ,"{""type"":""Point"",""coordinates"":[29.163255932,40.432581948]}"
bursa_dinitesis.121,DİNİ TESİSLER,CAMİ,YENİKÖY MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.15700001,40.381122639]}"
bursa_dinitesis.122,DİNİ TESİSLER,CAMİ,YUNUS EMRE CAMİ,"{""type"":""Point"",""coordinates"":[29.141577261,40.443560922]}"
bursa_dinitesis.123,DİNİ TESİSLER,CAMİ,CANBAZLAR KY.MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.189543956,40.245209041]}"
bursa_dinitesis.124,DİNİ TESİSLER,CAMİ,EMİR SULTAN CAMİ,"{""type"":""Point"",""coordinates"":[29.184586134,40.220702696]}"
bursa_dinitesis.125,DİNİ TESİSLER,CAMİ,ENSAR CAMİ,"{""type"":""Point"",""coordinates"":[29.20122398,40.217699006]}"
bursa_dinitesis.126,DİNİ TESİSLER,CAMİ,ERİCEKKÖYÜ MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.264713209,40.319024056]}"
bursa_dinitesis.127,DİNİ TESİSLER,CAMİ,İĞDİRKÖYÜ MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.199427391,40.262284816]}"
bursa_dinitesis.128,DİNİ TESİSLER,CAMİ,İPEKYOLU MH.TOKİ II.ETAP CAMİ,"{""type"":""Point"",""coordinates"":[29.270402621,40.254691076]}"
bursa_dinitesis.129,DİNİ TESİSLER,CAMİ,KUMLUKALAN MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.159567014,40.230394009]}"
bursa_dinitesis.130,DİNİ TESİSLER,CAMİ,KURTULUŞ CAMİ,"{""type"":""Point"",""coordinates"":[29.19304563,40.215658696]}"
bursa_dinitesis.131,DİNİ TESİSLER,CAMİ,MERKEZ CAMİ,"{""type"":""Point"",""coordinates"":[29.194177087,40.218294569]}"
bursa_dinitesis.132,DİNİ TESİSLER,CAMİ,SOMUNCUBABA CAMİ,"{""type"":""Point"",""coordinates"":[29.187806959,40.211409402]}"
bursa_dinitesis.133,DİNİ TESİSLER,CAMİ,ULUKUBBELİ CAMİ,"{""type"":""Point"",""coordinates"":[29.180110395,40.204974404]}"
bursa_dinitesis.134,DİNİ TESİSLER,CAMİ,YEŞİLYILDIZ CAMİ,"{""type"":""Point"",""coordinates"":[29.18930218,40.204329201]}"
bursa_dinitesis.135,DİNİ TESİSLER,CAMİ,AKALAN MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.184604228,39.760615845]}"
bursa_dinitesis.136,DİNİ TESİSLER,CAMİ,AKPINAR MH.ULU CAMİ,"{""type"":""Point"",""coordinates"":[29.122965372,39.632086659]}"
bursa_dinitesis.137,DİNİ TESİSLER,CAMİ,ALUTCA MH.CAMİ,"{""type"":""Point"",""coordinates"":[28.964814806,39.631400121]}"
bursa_dinitesis.138,DİNİ TESİSLER,CAMİ,BALANTDANİŞMENT MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.183453693,39.632787411]}"
bursa_dinitesis.139,DİNİ TESİSLER,CAMİ,BALLISARAY MH. AŞĞ. CAMİ,"{""type"":""Point"",""coordinates"":[29.204442527,39.685302872]}"
bursa_dinitesis.140,DİNİ TESİSLER,CAMİ,ÇATALSÖĞÜT MH.BAYRAMLAR CAMİ,"{""type"":""Point"",""coordinates"":[29.154347171,39.775734782]}"
bursa_dinitesis.141,DİNİ TESİSLER,CAMİ,ÇATALSÖĞÜT MH.CUMA CAMİ,"{""type"":""Point"",""coordinates"":[29.160530653,39.742664141]}"
